Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
windowESC_mode_color_tab,,UI,,,Full Color,"Full Color",UI,"Vollfarbe","Color completo","Couleur complete","Colore completo","フルカラー","풀 컬러","Pelny kolor","Cor completa","Polnyy tsvet","Tam Renk","全彩色","全彩色"
windowESC_mode_highvisibility_tab,,UI,,,High Visibility,"High Visibility",UI,"Hoher Kontrast","Alto contraste","Contraste eleve","Alto contrasto","ハイコントラスト","고대비","Wysoki kontrast","Alto contraste","Vysokaya kontrastnost","Yuksek Kontrast","高对比度","高對比度"
windowESC_color_header_motto,,UI,,,An AuroraGiggleFairy 7d2d Server,"Brought to you by HellsJanitor",UI,"","","","","","","","","","","",""
windowESC_color_header_title,,UI,,,Twilight Realm,"Dishong Tower Challenge",UI,"","","","","","","","","","","",""
windowESC_color_join_body,,UI,,,Do you dare enter the Twilight Realm?\nThe choice is yours...,"Join when ready.",UI,"","","","","","","","","","","",""
windowESC_color_join_title,,UI,,,Leave or Join,"Leave or Join",UI,"Verlassen oder Beitreten","Salir o unirse","Quitter ou rejoindre","Esci o entra","退出または参加","나가기 또는 참가","Wyjdz lub dolacz","Sair ou entrar","Выйти или войти","Ayril veya Katil","离开或加入","離開或加入"
windowESC_color_link_1_label,,UI,,,[FFFFFF]AGF's Discord[-],"[FFFFFF]HellsJanitor Discord[-]",UI,"","","","","","","","","","","",""
windowESC_color_options_screamer_off,,UI,,,[FFFFFF]Off[-],"[FFFFFF]Off[-]",UI,"[FFFFFF]Aus[-]","[FFFFFF]Apagado[-]","[FFFFFF]Desactive[-]","[FFFFFF]Disattivato[-]","[FFFFFF]オフ[-]","[FFFFFF]끔[-]","[FFFFFF]Wylaczone[-]","[FFFFFF]Desligado[-]","[FFFFFF]Выкл[-]","[FFFFFF]Kapali[-]","[FFFFFF]关[-]","[FFFFFF]關[-]"
windowESC_color_options_screamer_on,,UI,,,[FFFFFF]On[-],"[FFFFFF]On[-]",UI,"[FFFFFF]Ein[-]","[FFFFFF]Encendido[-]","[FFFFFF]Active[-]","[FFFFFF]Attivato[-]","[FFFFFF]オン[-]","[FFFFFF]켬[-]","[FFFFFF]Wlaczone[-]","[FFFFFF]Ligado[-]","[FFFFFF]Вкл[-]","[FFFFFF]Acik[-]","[FFFFFF]开[-]","[FFFFFF]開[-]"
windowESC_color_options_screamer_on_num,,UI,,,[FFFFFF]On + #[-],"[FFFFFF]On + #[-]",UI,"[FFFFFF]Ein + #[-]","[FFFFFF]Encendido + #[-]","[FFFFFF]Active + #[-]","[FFFFFF]Attivato + #[-]","[FFFFFF]オン + #[-]","[FFFFFF]켬 + #[-]","[FFFFFF]Wlaczone + #[-]","[FFFFFF]Ligado + #[-]","[FFFFFF]Вкл + #[-]","[FFFFFF]Acik + #[-]","[FFFFFF]开 + #[-]","[FFFFFF]開 + #[-]"
windowESC_color_options_screamer_title,,UI,,,Screamer Alert,"Screamer Alert",UI,"Schreier-Alarm","Alerta de chilladora","Alerte de hurleuse","Allarme strillatrice","スクリーマー警報","스크리머 경보","Alarm krzykaczki","Alerta de gritadora","Тревога крикуна","Ciglikci Alarmi","尖叫者警报","尖叫者警報"
windowESC_color_options_title,,UI,,,Options,"Options",UI,"Optionen","Opciones","Options","Opzioni","オプション","옵션","Opcje","Opcoes","Параметры","Secenekler","选项","選項"
windowESC_color_options_tracker_off,,UI,,,[FFFFFF]Off[-],"[FFFFFF]Off[-]",UI,"[FFFFFF]Aus[-]","[FFFFFF]Apagado[-]","[FFFFFF]Desactive[-]","[FFFFFF]Disattivo[-]","[FFFFFF]オフ[-]","[FFFFFF]끔[-]","[FFFFFF]Wył.[-]","[FFFFFF]Desativado[-]","[FFFFFF]Выкл.[-]","[FFFFFF]Kapali[-]","[FFFFFF]关[-]","[FFFFFF]關[-]"
windowESC_color_options_tracker_on,,UI,,,[FFFFFF]On[-],"[FFFFFF]On[-]",UI,"[FFFFFF]Ein[-]","[FFFFFF]Encendido[-]","[FFFFFF]Active[-]","[FFFFFF]Attivo[-]","[FFFFFF]オン[-]","[FFFFFF]켬[-]","[FFFFFF]Wł.[-]","[FFFFFF]Ativado[-]","[FFFFFF]Вкл.[-]","[FFFFFF]Acik[-]","[FFFFFF]开[-]","[FFFFFF]開[-]"
windowESC_color_options_tracker_title,,UI,,,Visual Entity Tracker,"Visual Entity Tracker",UI,"Visueller Entitaten-Tracker","Rastreador visual de entidades","Suivi visuel des entites","Tracciatore visivo entita","視覚エンティティトラッカー","시각적 엔티티 추적기","Wizualny tracker encji","Rastreador visual de entidades","Визуальный трекер сущностей","Gorsel Varlik Izleyici","视觉实体追踪器","視覺實體追蹤器"
windowESC_color_page_1_body,,UI,,,My name is [FFFFFF]AuroraGiggleFairy[-] and welcome to my server!\n\nI created this server to have a fun space to play 7d2d and expand my abilities as a modder:\n  - making new mods,"Welcome to the Dishong Tower Challenge.\n\nFight your way to the top of the tower, loot and craft what you need, then escape by gyrocopter.\n\nFailure is not an option.\n\nYou have [C26700]ONE[-] life. Make it count.\n\n[EDE100]1:[-] Keep [C26700]DEFAULT[-] player block damage, zombie block damage, XP gain, and similar settings. Loot should be [C26700]no higher[-] than [C26700]100%[-].\n\n[EDE100]2:[-] You may set loot [C26700]LOWER[-] than [C26700]100%[-].\nEnemy block damage may be [C26700]HIGHER[-] than [C26700]100%[-].\nPlayer block damage may be [C26700]LOWER[-] than [C26700]100%[-].",UI," welcome to my [8DB580]Twilight Realm[-]!\n\nHappy modding... erm... HUNTING... and Enjoy!\n\n- [FFFFFF]AGF[-]","Welcome to the Dishong Tower Challenge.\n\nFight your way to the top of the tower, loot and craft what you need,\nthen escape by gyrocopter. Failure is not an option.\nYou have [c26700]ONE[-] life. Make it count.\n\n[ede100]1:[-] Keep [c26700]DEFAULT[-] player block damage, zombie block damage,\nXP gain, and similar settings. Loot should be [c26700]no higher[-] than [c26700]100%[-].\n\n[ede100]2:[-] You may set loot [c26700]LOWER[-] than [c26700]100%[-].\nEnemy block damage may be [c26700]HIGHER[-] than [c26700]100%[-].\nPlayer block damage may be [c26700]LOWER[-] than [c26700]100%[-].\n\n[ede100]3:[-] You [c26700]must[-] enter Dishong Tower immediately and [c26700]cannot leave[-] after that.\n\n[ede100]4:[-] Rubble around the tower is [c26700]NOT[-] part of the tower.\nDo [c26700]NOT[-] use it to support builds or crops unless done [c26700]WITHOUT[-] touching it.\n\n[ede100]5:[-] Bridges off the building are allowed, but they must be self-supporting\nand [c26700]cannot touch the ground[-].\n\n[ede100]6:[-] You may [c26700]not[-] mine or dig under the building.\n\n[ede100]7:[-] If you die, [c26700]GAME OVER[-].\n\n[ede100]8:[-] Survive until you can craft a gyrocopter and fly to trader safety.","UI","","","","","","","","",""
windowESC_color_page_1_body_column_1,,UI,,,,"Welcome to the Dishong Tower Challenge.\n\nFight your way to the top of the tower, loot and craft what you need, then escape by gyrocopter.\n\nFailure is not an option.\n\nYou have [C26700]ONE[-] life. Make it count.\n\n[EDE100]1:[-] Keep [C26700]DEFAULT[-] player block damage, zombie block damage, XP gain, and similar settings. Loot should be [C26700]no higher[-] than [C26700]100%[-].\n\n[EDE100]2:[-] You may set loot [C26700]LOWER[-] than [C26700]100%[-].\nEnemy block damage may be [C26700]HIGHER[-] than [C26700]100%[-].\nPlayer block damage may be [C26700]LOWER[-] than [C26700]100%[-].",UI,"","","","","","","","","","","",""
windowESC_color_page_1_body_column_2,,UI,,,,"[EDE100]3:[-] You [C26700]must[-] enter Dishong Tower immediately and [C26700]cannot leave[-] after that.\n\n[EDE100]4:[-] Rubble around the tower is [C26700]NOT[-] part of the tower.\nDo [C26700]NOT[-] use it to support builds or crops unless done [C26700]WITHOUT[-] touching it.\n\n[EDE100]5:[-] Bridges off the building are allowed, but they must be self-supporting and [C26700]cannot touch the ground[-].\n\n[EDE100]6:[-] You may [C26700]not[-] mine or dig under the building.\n\n[EDE100]7:[-] If you die, [C26700]GAME OVER[-].\n\n[EDE100]8:[-] Survive until you can craft a gyrocopter and fly to trader safety.",UI,"","","","","","","","","","","",""
windowESC_color_page_1_button,,UI,,,[FFFFFF]Welcome!!![-],"[FFFFFF]Rules[-]",UI,"","","","","","","","","","","",""
windowESC_color_page_1_title,,UI,,,Welcome!!!,"Rules",UI,"","","","","","","","","","","",""
windowESC_color_page_2_body,,UI,,,[8DB580]1.[-] PvE ONLY,"[EDE100]1.[-] [C26700]Seeds[-] - Seed crafting is unlocked by default.\nSome seeds only need a few food items, and some farm plots in the tower are usable.\n\n[EDE100]2.[-] [C26700]Zombie Loot[-] - Most zombies can drop loot bags.\nSome zombie types have chances for specific loot.\n\n[EDE100]3.[-] [C26700]Skill Magazines[-] - Found in usual loot spots.\nSome zombie loot bags also have magazine chances.\n\n[EDE100]4.[-] [C26700]Looting[-] - Loot respawn is core to finishing this challenge.\nContainers restock based on your pregame Loot Respawn setting.\n\n[EDE100]5.[-] [C26700]Zombie Respawns[-] - Respawn timing can be configured.\nUse the Dishong settings on the main menu to pick respawn days.\n\n[EDE100]6.[-] [C26700]Resources[-] - Resources are limited, but completion resources are obtainable.\nSome items (like old cash) are used in recipes, so check everything.\nAcid can be crafted and can also drop from zombies, along with antibiotics and beakers.",UI," and things.\n\n[8DB580]2.[-] You ARE allowed to take over a POI as a base.\n\n[8DB580]3.[-] You may play with Twitch Integration"," but please keep away from other people's things just in case.\n\n[8DB580]4.[-] Use the ally system with only people in your crew"," and use passwords on all storages and doors.\n\n[8DB580]5.[-] Use your 5 landclaims and only use them on your territories.\n\n[8DB580]6.[-] RESIST giving things away for free! Make outsiders pay!!!\n\n[8DB580]7.[-] Any issues"," please report to [FFFFFF]AuroraGiggleFairy[-] directly in discord. [FFFFFF](Discord Link Above)[-]","[ede100]1.[-] [c26700]Seeds[-] - Seed crafting is unlocked by default.\nSome seeds only need a few food items, and some farm plots in the tower are usable.\n\n[ede100]2.[-] [c26700]Zombie Loot[-] - Most zombies can drop loot bags.\nSome zombie types have chances for specific loot.\n\n[ede100]3.[-] [c26700]Skill Magazines[-] - Found in usual loot spots.\nSome zombie loot bags also have magazine chances.\n\n[ede100]4.[-] [c26700]Looting[-] - Loot respawn is core to finishing this challenge.\nContainers restock based on your pregame Loot Respawn setting.\n\n[ede100]5.[-] [c26700]Zombie Respawns[-] - Respawn timing can be configured.\nUse the Dishong settings on the main menu to pick respawn days.\n\n[ede100]6.[-] [c26700]Resources[-] - Resources are limited, but completion resources are obtainable.\nSome items (like old cash) are used in recipes, so check everything.\nAcid can be crafted and can also drop from zombies, along with antibiotics and beakers.","UI","","","","","",""
windowESC_color_page_2_button,,UI,,,[FFFFFF]Rules[-],"[FFFFFF]Tips 1[-]",UI,"","","","","","","","","","","",""
windowESC_color_page_2_title,,UI,,,Rules,"Tips 1",UI,"","","","","","","","","","","",""
windowESC_color_page_3_body,,UI,,,[8DB580]VISITING A TRADER?[-]\n - PLEASE keep the trader gates closed!!! Help keep trader areas safe.\n\n[8DB580]QUESTING WITH OTHERS?[-]\n - Unless quest owner states otherwise,"[EDE100]7.[-] [C26700]Crafting[-] - Workstations, key tools, and vehicles unlock with fewer magazines.\n\n[EDE100]8.[-] [C26700]Cheating[-] - Leaving the tower without a gyrocopter is a bad idea.\n\n[EDE100]9.[-] [C26700]Customization[-] - Toggle features like health bars and XP popups in pause menu.\nPause -> Video -> Customization.\n\n[EDE100]10.[-] [C26700]Special Thanks[-] - Horde nights can be disabled in main settings,\nor managed with the Avoid Bloodmoon injection.\n\n[EDE100]11.[-] [C26700]Horde Night[-] - Same as above: disable in settings or use Avoid Bloodmoon injection.\n\n[EDE100]12.[-] [C26700]Tower Resources[-] - Many resource sources differ from vanilla.\nExample: harvest potted plants, farm plots, and destroyed stone for clay soil.\n\n[EDE100]13.[-] [C26700]Locked Slots[-] - Hover inventory slot and press X to lock it.\nLocked slots show a green background.\n\n[EDE100]14.[-] [C26700]Wrench[-] - Keep it repaired.",UI," help repair and/or provide resources.\n\n[8DB580]FINISHED BLOODMOON WITH OTHERS?[-]\n - Unless player states otherwise"," try sharing the loot bags evenly.","[ede100]7.[-] [c26700]Crafting[-] - Workstations, key tools, and vehicles unlock with fewer magazines.\n\n[ede100]8.[-] [c26700]Cheating[-] - Leaving the tower without a gyrocopter is a bad idea.\n\n[ede100]9.[-] [c26700]Customization[-] - Toggle features like health bars and XP popups in pause menu.\nPause -> Video -> Customization.\n\n[ede100]10.[-] [c26700]Special Thanks[-] - Horde nights can be disabled in main settings,\nor managed with the Avoid Bloodmoon injection.\n\n[ede100]11.[-] [c26700]Horde Night[-] - Same as above: disable in settings or use Avoid Bloodmoon injection.\n\n[ede100]12.[-] [c26700]Tower Resources[-] - Many resource sources differ from vanilla.\nExample: harvest potted plants, farm plots, and destroyed stone for clay soil.\n\n[ede100]13.[-] [c26700]Locked Slots[-] - Hover inventory slot and press X to lock it.\nLocked slots show a green background.\n\n[ede100]14.[-] [c26700]Wrench[-] - Keep it repaired.","UI","","","","","","","",""
windowESC_color_page_3_button,,UI,,,[FFFFFF]Etiquette[-],"[FFFFFF]Tips 2[-]",UI,"","","","","","","","","","","",""
windowESC_color_page_3_title,,UI,,,Etiquette,"Tips 2",UI,"","","","","","","","","","","",""
windowESC_highvisibility_header_motto,,UI,,,An AuroraGiggleFairy 7d2d Server,"Brought to you by HellsJanitor",UI,"","","","","","","","","","","",""
windowESC_highvisibility_header_title,,UI,,,Twilight Realm,"Dishong Tower Challenge",UI,"","","","","","","","","","","",""
windowESC_highvisibility_join_body,,UI,,,Do you dare enter the Twilight Realm?\nThe choice is yours...,"Join when ready.",UI,"","","","","","","","","","","",""
windowESC_highvisibility_join_title,,UI,,,Leave or Join,"Leave or Join",UI,"Verlassen oder Beitreten","Salir o unirse","Quitter ou rejoindre","Esci o entra","退出または参加","나가기 또는 참가","Wyjdz lub dolacz","Sair ou entrar","Выйти или войти","Ayril veya Katil","离开或加入","離開或加入"
windowESC_highvisibility_link_1_label,,UI,,,[DCDCDC]AGF's Discord[-],"[DCDCDC]HellsJanitor Discord[-]",UI,"","","","","","","","","","","",""
windowESC_highvisibility_options_screamer_off,,UI,,,[FFFFFF]Off[-],"[FFFFFF]Off[-]",UI,"[FFFFFF]Aus[-]","[FFFFFF]Apagado[-]","[FFFFFF]Desactive[-]","[FFFFFF]Disattivato[-]","[FFFFFF]オフ[-]","[FFFFFF]끔[-]","[FFFFFF]Wylaczone[-]","[FFFFFF]Desligado[-]","[FFFFFF]Выкл[-]","[FFFFFF]Kapali[-]","[FFFFFF]关[-]","[FFFFFF]關[-]"
windowESC_highvisibility_options_screamer_on,,UI,,,[FFFFFF]On[-],"[FFFFFF]On[-]",UI,"[FFFFFF]Ein[-]","[FFFFFF]Encendido[-]","[FFFFFF]Active[-]","[FFFFFF]Attivato[-]","[FFFFFF]オン[-]","[FFFFFF]켬[-]","[FFFFFF]Wlaczone[-]","[FFFFFF]Ligado[-]","[FFFFFF]Вкл[-]","[FFFFFF]Acik[-]","[FFFFFF]开[-]","[FFFFFF]開[-]"
windowESC_highvisibility_options_screamer_on_num,,UI,,,[FFFFFF]On + #[-],"[FFFFFF]On + #[-]",UI,"[FFFFFF]Ein + #[-]","[FFFFFF]Encendido + #[-]","[FFFFFF]Active + #[-]","[FFFFFF]Attivato + #[-]","[FFFFFF]オン + #[-]","[FFFFFF]켬 + #[-]","[FFFFFF]Wlaczone + #[-]","[FFFFFF]Ligado + #[-]","[FFFFFF]Вкл + #[-]","[FFFFFF]Acik + #[-]","[FFFFFF]开 + #[-]","[FFFFFF]開 + #[-]"
windowESC_highvisibility_options_screamer_title,,UI,,,Screamer Alert,"Screamer Alert",UI,"Schreier-Alarm","Alerta de chilladora","Alerte de hurleuse","Allarme strillatrice","スクリーマー警報","스크리머 경보","Alarm krzykaczki","Alerta de gritadora","Тревога крикуна","Ciglikci Alarmi","尖叫者警报","尖叫者警報"
windowESC_highvisibility_options_title,,UI,,,Options,"Options",UI,"Optionen","Opciones","Options","Opzioni","オプション","옵션","Opcje","Opcoes","Параметры","Secenekler","选项","選項"
windowESC_highvisibility_options_tracker_off,,UI,,,[FFFFFF]Off[-],"[FFFFFF]Off[-]",UI,"[FFFFFF]Aus[-]","[FFFFFF]Apagado[-]","[FFFFFF]Desactive[-]","[FFFFFF]Disattivo[-]","[FFFFFF]オフ[-]","[FFFFFF]끔[-]","[FFFFFF]Wył.[-]","[FFFFFF]Desativado[-]","[FFFFFF]Выкл.[-]","[FFFFFF]Kapali[-]","[FFFFFF]关[-]","[FFFFFF]關[-]"
windowESC_highvisibility_options_tracker_on,,UI,,,[FFFFFF]On[-],"[FFFFFF]On[-]",UI,"[FFFFFF]Ein[-]","[FFFFFF]Encendido[-]","[FFFFFF]Active[-]","[FFFFFF]Attivo[-]","[FFFFFF]オン[-]","[FFFFFF]켬[-]","[FFFFFF]Wł.[-]","[FFFFFF]Ativado[-]","[FFFFFF]Вкл.[-]","[FFFFFF]Acik[-]","[FFFFFF]开[-]","[FFFFFF]開[-]"
windowESC_highvisibility_options_tracker_title,,UI,,,Visual Entity Tracker,"Visual Entity Tracker",UI,"Visueller Entitaten-Tracker","Rastreador visual de entidades","Suivi visuel des entites","Tracciatore visivo entita","視覚エンティティトラッカー","시각적 엔티티 추적기","Wizualny tracker encji","Rastreador visual de entidades","Визуальный трекер сущностей","Gorsel Varlik Izleyici","视觉实体追踪器","視覺實體追蹤器"
